sequence_id,A_freq,T_freq,G_freq,C_freq,GC_content,AT_content,kmer_ATT,kmer_TAA,kmer_AAT,kmer_TTA,kmer_ATA,kmer_AAA,kmer_TAT,kmer_TTC,kmer_AAG,kmer_AGA,has_ATATA,has_polyT,has_polyA,start_A,start_T,end_T,at_rich_windows,label
mO_001(V)_gCOX3(839-886),0.4791666666666667,0.25,0.1875,0.08333333333333333,0.2708333333333333,0.7291666666666666,0.043478260869565216,0.06521739130434782,0.0,0.043478260869565216,0.021739130434782608,0.06521739130434782,0.0,0.0,0.06521739130434782,0.06521739130434782,0,0,1,1,0,0,0.5227272727272727,1
mO_002(I)_gCOX3(614-657),0.38636363636363635,0.3409090909090909,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.7272727272727273,0.023809523809523808,0.09523809523809523,0.047619047619047616,0.023809523809523808,0.09523809523809523,0.023809523809523808,0.023809523809523808,0.0,0.023809523809523808,0.047619047619047616,0,1,0,1,0,0,0.5,1
mO_002(II)_gND7(996-1033),0.3157894736842105,0.3684210526315789,0.21052631578947367,0.10526315789473684,0.3157894736842105,0.6842105263157895,0.0,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.0,0,0,0,1,0,1,0.47058823529411764,1
mO_002(IV)_gND9(238-285),0.5,0.25,0.16666666666666666,0.08333333333333333,0.25,0.75,0.021739130434782608,0.021739130434782608,0.08695652173913043,0.021739130434782608,0.10869565217391304,0.043478260869565216,0.043478260869565216,0.0,0.021739130434782608,0.06521739130434782,1,0,1,1,0,1,0.5909090909090909,1
mO_003(V)_gCOX3(837-880),0.5227272727272727,0.25,0.1590909090909091,0.06818181818181818,0.22727272727272727,0.7727272727272727,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.07142857142857142,0.11904761904761904,0.0,0.0,0.023809523809523808,0.11904761904761904,0,0,1,1,0,1,0.7,1
mO_004(I)_gND8_v2(130-171),0.40476190476190477,0.3333333333333333,0.19047619047619047,0.07142857142857142,0.2619047619047619,0.7380952380952381,0.05,0.1,0.075,0.025,0.05,0.05,0.0,0.025,0.0,0.0,0,0,0,1,0,0,0.5526315789473685,1
mO_004(I)_gND8_v1(130-171),0.40476190476190477,0.3333333333333333,0.19047619047619047,0.07142857142857142,0.2619047619047619,0.7380952380952381,0.05,0.1,0.075,0.025,0.05,0.05,0.0,0.025,0.0,0.0,0,0,0,1,0,0,0.5526315789473685,1
mO_004(II)_gND7(113-155),0.46511627906976744,0.27906976744186046,0.16279069767441862,0.09302325581395349,0.2558139534883721,0.7441860465116279,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.0,0.14634146341463414,0.024390243902439025,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.04878048780487805,1,0,0,1,0,0,0.5384615384615384,1
mO_004(IV)_gRPS12(192-237),0.5,0.2391304347826087,0.1956521739130435,0.06521739130434782,0.2608695652173913,0.7391304347826086,0.0,0.11363636363636363,0.06818181818181818,0.022727272727272728,0.09090909090909091,0.045454545454545456,0.0,0.0,0.06818181818181818,0.045454545454545456,0,0,0,1,0,1,0.5476190476190477,1
mO_004(V)_gND8_v1(521-562),0.3333333333333333,0.40476190476190477,0.16666666666666666,0.09523809523809523,0.2619047619047619,0.7380952380952381,0.025,0.05,0.025,0.025,0.05,0.0,0.025,0.05,0.0,0.075,0,0,0,0,1,0,0.5789473684210527,1
mO_004(V)_gND8_v2(519-560),0.3333333333333333,0.40476190476190477,0.16666666666666666,0.09523809523809523,0.2619047619047619,0.7380952380952381,0.025,0.05,0.025,0.025,0.05,0.0,0.025,0.05,0.0,0.075,0,0,0,0,1,0,0.5789473684210527,1
mO_005(II)_gA6_v1(699-741),0.5116279069767442,0.20930232558139536,0.18604651162790697,0.09302325581395349,0.27906976744186046,0.7209302325581395,0.024390243902439025,0.0,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.0975609756097561,0.024390243902439025,0.0,0.0,0.0975609756097561,0,0,1,1,0,1,0.46153846153846156,1
